flow_info: forward_iat_total, backward_iat_std, backward_iat_max, total_fhlen, total_bhlen, backward_iat_min, forward_iat_min, fpkts_per_second, flow_iat_min, forward_packet_length_mean, forward_iat_std, flow_iat_total, flow_syn, flow_fin, forward_iat_max, flow_iat_max, forward_packet_length_min, total_backward_packets, flow_iat_mean, flow_ece, flow_protocol, flow_iat_std, bpkts_per_second, backward_packet_length_mean, backward_iat_mean, total_length_of_forward_packets, flow_cwr, flow_packets_per_second, forward_iat_mean, flow_urg, total_length_of_backward_packets, flow_rst, total_forward_packets, forward_packet_length_max, flow_ack, forward_packet_length_std, backward_iat_total, backward_packet_length_max, flow_psh, backward_packet_length_std, backward_packet_length_min: serial: start_time, end_time: attack_label: infection_label: reconnaissance_label: attack_labeled: infection_labeled: reconnaissance_labeled: benign_probability: attack_probability: infection_probability: reconnaissance_probability
127.0.0.8/5057-127.0.0.15/443: 0, 0.0, -1, 24, 24, 99999, 99999, 1.0, 3.266334533691406e-05, 212.0, 0.0, 3.266334533691406e-05, 0, 0, -1, 3.266334533691406e-05, 212, 1, 0.0, 0, 6, 0.0, 1.0, 54.0, 0.0, 212, 0, 2.0, 0.0, 0, 54, 0, 1, 212, 2, 0.0, 0, 54, 1, 0.0, 54: 413: 1674497187.2, 1674497188.2: 0: 0: 0: 0: 0: 0: 0.47536685034138587: 0.17487771022840848: 0.17487771022840745: 0.1748777292017982
127.0.0.1/9020-127.0.0.2/9784: 124.24931454658508, 0.33, 0.8465278148651123, 3969, 7344, 0.00024080276489257812, 1.7881393432617188e-05, 272.0, 1.7881393432617188e-05, 1178.2205882352941, 0.34, 202.25882363319397, 0, 0, 0.8470132350921631, 0.8470458984375, 96, 147, 0.48, 0, 6, 0.34, 147.0, 66.08163265306122, 0.53, 320476, 0, 419.0, 0.46, 0, 9714, 0, 272, 1454, 419, 499.47, 77.9333508014679, 70, 76, 0.57, 66: 414: 1674497187.3, 1674497188.3: 0: 0: 0: 0: 0: 0: 0.4753668864186717: 0.17487770452710943: 0.17487770452710943: 0.17487770452710943
127.0.0.1/9020-127.0.0.2/9784: 36.26462721824646, 0.19, 0.3836557865142822, 3051, 5103, 1.7881393432617188e-05, 5.125999450683594e-05, 189.0, 5.125999450683594e-05, 1170.7619047619048, 0.19, 61.487542390823364, 0, 0, 0.3844289779663086, 0.3844616413116455, 96, 113, 0.2, 0, 6, 0.19, 113.0, 66.10619469026548, 0.22, 221274, 0, 302.0, 0.19, 0, 7470, 0, 189, 1454, 302, 502.72, 25.131853580474854, 70, 54, 0.64, 66: 415: 1674497187.4, 1674497188.4: 0: 0: 0: 0: 0: 0: 0.47536688641849056: 0.17487770452721546: 0.17487770452713816: 0.1748777045271557
127.0.0.1/9020-127.0.0.2/9784: 36.254990339279175, 0.19, 0.3836379051208496, 3024, 5076, 1.9311904907226562e-05, 5.2928924560546875e-05, 188.0, 5.2928924560546875e-05, 1169.2553191489362, 0.19, 61.47135853767395, 0, 0, 0.38437771797180176, 0.38441038131713867, 96, 112, 0.2, 0, 6, 0.19, 112.0, 66.10714285714286, 0.22, 219820, 0, 300.0, 0.19, 0, 7404, 0, 188, 1454, 300, 503.63, 25.1298508644104, 70, 54, 0.65, 66: 416: 1674497187.5, 1674497188.5: 0: 0: 0: 0: 0: 0: 0.47536688641847097: 0.17487770452722695: 0.1748777045271413: 0.17487770452716078
127.0.0.1/9020-127.0.0.2/9784: 36.24509263038635, 0.19, 0.3836185932159424, 2997, 5049, 1.7642974853515625e-05, 0.00012755393981933594, 187.0, 0.00012755393981933594, 1167.7326203208556, 0.19, 61.45481324195862, 0, 0, 0.3843247890472412, 0.3843574523925781, 96, 111, 0.21, 0, 6, 0.19, 111.0, 66.10810810810811, 0.23, 218366, 0, 298.0, 0.19, 0, 7338, 0, 187, 1454, 298, 504.55, 25.1277072429657, 70, 54, 0.65, 66: 417: 1674497187.5, 1674497188.5: 0: 0: 0: 0: 0: 0: 0.4753668864184788: 0.17487770452722257: 0.17487770452714002: 0.17487770452715856
127.0.0.1/9020-127.0.0.2/9784: 36.221367597579956, 0.18, 0.38360095024108887, 2970, 5022, 2.0265579223632812e-05, 3.9577484130859375e-05, 186.0, 3.9577484130859375e-05, 1166.1935483870968, 0.19, 61.41631841659546, 0, 0, 0.3841972351074219, 0.3842298984527588, 96, 110, 0.21, 0, 6, 0.19, 110.0, 66.10909090909091, 0.23, 216912, 0, 296.0, 0.19, 0, 7272, 0, 186, 1454, 296, 505.46, 25.12576651573181, 70, 54, 0.65, 66: 418: 1674497187.5, 1674497188.5: 0: 0: 0: 0: 0: 0: 0.47536688641845143: 0.17487770452723853: 0.17487770452714435: 0.17487770452716564
127.0.0.1/9020-127.0.0.2/9784: 36.21404576301575, 0.18, 0.38358068466186523, 2943, 4995, 1.6927719116210938e-05, 5.984306335449219e-05, 185.0, 5.984306335449219e-05, 1171.9783783783785, 0.19, 61.404053688049316, 0, 0, 0.384157657623291, 0.38419032096862793, 96, 109, 0.21, 0, 6, 0.19, 109.0, 66.11009174311927, 0.23, 216816, 0, 294.0, 0.2, 0, 7206, 0, 185, 1454, 294, 500.65, 25.123557567596436, 70, 53, 0.65, 66: 419: 1674497187.6, 1674497188.6: 0: 0: 0: 0: 0: 0: 0.4753668864184322: 0.17487770452724863: 0.17487770452714746: 0.17487770452717183
127.0.0.1/9020-127.0.0.2/9784: 58.29778790473938, 0.25, 0.7617514133453369, 3348, 5751, 1.7881393432617188e-05, 0.00012612342834472656, 213.0, 0.00012612342834472656, 1162.2347417840376, 0.26, 95.67227053642273, 0, 0, 0.7623744010925293, 0.7623744010925293, 96, 124, 0.28, 0, 6, 0.26, 124.0, 66.09677419354838, 0.3, 247556, 0, 337.0, 0.27, 0, 8196, 0, 213, 1454, 337, 507.54, 37.30420923233032, 70, 63, 0.61, 66: 420: 1674497187.6, 1674497188.6: 0: 0: 0: 0: 0: 0: 0.4753668864186717: 0.17487770452710943: 0.17487770452710943: 0.17487770452710943
127.0.0.15/443-127.0.0.8/5057: 0.0002105236053466797, 0.0, 0.0004057884216308594, 144, 96, 0.0003025531768798828, 2.5033950805664062e-05, 4.0, 2.5033950805664062e-05, 1264.75, 0.0, 0.0027017593383789062, 0, 0, 0.00010418891906738281, 0.0005285739898681641, 801, 6, 0.0, 0, 6, 0.0, 6.0, 54.0, 0.0, 5059, 0, 10.0, 0.0, 0, 324, 0, 4, 1514, 10, 291.77, 0.0017545223236083984, 54, 2, 0.0, 54: 421: 1674497187.6, 1674497188.6: 0: 0: 0: 0: 0: 0: 0.47536688641866515: 0.1748777045271105: 0.1748777045271105: 0.17487770452711396
127.0.0.1/9020-127.0.0.2/9784: 104.368084192276, 0.28, 0.7679095268249512, 3969, 7344, 5.245208740234375e-05, 4.029273986816406e-05, 272.0, 4.029273986816406e-05, 1179.7426470588234, 0.31, 160.15872764587402, 0, 0, 0.7690773010253906, 0.7690773010253906, 82, 147, 0.38, 0, 6, 0.3, 147.0, 66.08163265306122, 0.38, 320890, 0, 419.0, 0.38, 0, 9714, 0, 272, 1454, 419, 499.96, 55.723247051239014, 70, 75, 0.57, 66: 422: 1674497187.6, 1674497188.6: 0: 0: 0: 0: 0: 0: 0.4753668864186717: 0.17487770452710943: 0.17487770452710943: 0.17487770452710943
127.0.0.15/443-127.0.0.8/5057: 0.0073091983795166016, 0.0, 0.0067899227142333984, 168, 96, 1.7642974853515625e-05, 5.626678466796875e-05, 4.0, 5.626678466796875e-05, 970.25, 0.0, 0.02389979362487793, 0, 0, 0.007173776626586914, 0.007190227508544922, 336, 7, 0.0, 0, 6, 0.0, 7.0, 73.14285714285714, 0.0, 3881, 0, 11.0, 0.0, 0, 512, 0, 4, 1514, 11, 445.55, 0.013788461685180664, 188, 4, 46.89, 54: 423: 1674497187.6, 1674497188.6: 0: 0: 0: 0: 0: 0: 0.47536688632163204: 0.17487770454244464: 0.17487770454244464: 0.17487770459347873
127.0.0.1/9020-127.0.0.2/9784: 170.98086953163147, 0.3, 0.8031930923461914, 4536, 9558, 1.811981201171875e-05, 6.008148193359375e-05, 354.0, 6.008148193359375e-05, 1243.2711864406779, 0.32, 244.4419813156128, 0, 0, 0.8037831783294678, 0.8037831783294678, 82, 168, 0.47, 0, 6, 0.32, 168.0, 66.07142857142857, 0.44, 440118, 0, 522.0, 0.48, 0, 11100, 0, 354, 1454, 522, 453.26, 73.38204455375671, 70, 75, 0.53, 66: 424: 1674497187.7, 1674497188.7: 0: 0: 0: 0: 0: 0: 0.4753668864186717: 0.17487770452710943: 0.17487770452710943: 0.17487770452710943
127.0.0.15/443-127.0.0.8/5057: 0.007140398025512695, 0.0, 0.006772279739379883, 144, 72, 1.6450881958007812e-05, 2.288818359375e-05, 3.0, 2.288818359375e-05, 883.6666666666666, 0.0, 0.022993087768554688, 0, 0, 0.007117509841918945, 0.007133960723876953, 336, 6, 0.0, 0, 6, 0.0, 6.0, 76.33333333333333, 0.0, 2651, 0, 9.0, 0.0, 0, 458, 0, 3, 1514, 9, 484.46, 0.01368260383605957, 188, 3, 49.94, 54: 425: 1674497187.7, 1674497188.7: 0: 0: 0: 0: 0: 0: 0.4753668863396945: 0.17487770453959023: 0.17487770453959023: 0.17487770458112506
127.0.0.1/9020-127.0.0.2/9784: 170.9596607685089, 0.3, 0.8031749725341797, 4509, 9531, 0.0003616809844970703, 0.00012350082397460938, 353.0, 0.00012350082397460938, 1242.6742209631727, 0.32, 244.41026830673218, 0, 0, 0.8037230968475342, 0.8037230968475342, 82, 167, 0.47, 0, 6, 0.31, 167.0, 66.07185628742515, 0.44, 438664, 0, 520.0, 0.48, 0, 11034, 0, 353, 1454, 520, 453.76, 73.37901854515076, 70, 75, 0.53, 66: 426: 1674497187.7, 1674497188.7: 0: 0: 0: 0: 0: 0: 0.4753668864186717: 0.17487770452710943: 0.17487770452710943: 0.17487770452710943
127.0.0.15/443-127.0.0.8/5057: 0.007094621658325195, 0.0, 0.006755828857421875, 120, 48, 5.269050598144531e-05, 0.007094621658325195, 2.0, 0.0003552436828613281, 568.5, 0.0, 0.022471189498901367, 0, 0, 0.007094621658325195, 0.007111072540283203, 336, 5, 0.0, 0, 6, 0.0, 5.0, 80.8, 0.0, 1137, 0, 7.0, 0.0, 0, 404, 0, 2, 801, 7, 232.5, 0.013600349426269531, 188, 3, 53.6, 54: 427: 1674497187.7, 1674497188.7: 0: 0: 0: 0: 0: 0: 0.475366882418246: 0.17487770515929726: 0.17487770515929726: 0.17487770726315952
127.0.0.1/9020-127.0.0.2/9784: 170.91618847846985, 0.3, 0.8028132915496826, 4482, 9504, 1.6450881958007812e-05, 3.9577484130859375e-05, 352.0, 3.9577484130859375e-05, 1242.0738636363637, 0.32, 244.3458662033081, 0, 0, 0.8035995960235596, 0.8035995960235596, 82, 166, 0.47, 0, 6, 0.31, 166.0, 66.07228915662651, 0.44, 437210, 0, 518.0, 0.49, 0, 10968, 0, 352, 1454, 518, 454.27, 73.31897950172424, 70, 75, 0.53, 66: 428: 1674497187.7, 1674497188.7: 0: 0: 0: 0: 0: 0: 0.4753668864186717: 0.17487770452710943: 0.17487770452710943: 0.17487770452710943
127.0.0.15/443-127.0.0.8/5057: 0, 0.0, 0.00670313835144043, 96, 24, 1.6450881958007812e-05, 99999, 1.0, 1.6450881958007812e-05, 336.0, 0.0, 0.020076274871826172, 0, 0, -1, 0.00670313835144043, 336, 4, 0.0, 0, 6, 0.0, 4.0, 87.5, 0.0, 336, 0, 5.0, 0.0, 0, 350, 0, 1, 336, 5, 0.0, 0.01338958740234375, 188, 2, 58.02, 54: 429: 1674497187.7, 1674497188.7: 0: 0: 0: 0: 0: 0: 0.4753668320094888: 0.17487771312539901: 0.17487771312539901: 0.17487774173971307
127.0.0.1/9020-127.0.0.2/9784: 170.90229678153992, 0.3, 0.8027968406677246, 4455, 9477, 0.006414175033569336, 2.9802322387695312e-05, 351.0, 2.9802322387695312e-05, 1245.3390313390314, 0.32, 244.32477736473083, 0, 0, 0.8035600185394287, 0.8035600185394287, 82, 165, 0.47, 0, 6, 0.31, 165.0, 66.07272727272728, 0.44, 437114, 0, 516.0, 0.49, 0, 10902, 0, 351, 1454, 516, 450.77, 73.31626510620117, 70, 74, 0.53, 66: 430: 1674497187.8, 1674497188.8: 0: 0: 0: 0: 0: 0: 0.4753668864186717: 0.17487770452710943: 0.17487770452710943: 0.17487770452710943
127.0.0.15/443-127.0.0.8/5057: 0, 0.0, 0.006686687469482422, 72, 0, 0.006653547286987305, 99999, 0.0, 0.006653547286987305, 0, -1, 0.013340234756469727, 0, 0, -1, 0.006686687469482422, -1, 3, 0.0, 0, 6, 0.0, 3.0, 98.66666666666667, 0.0, 0, 0, 3.0, -1, 0, 296, 0, 0, -1, 3, -1, 0.013340234756469727, 188, 1, 63.17, 54: 431: 1674497187.8, 1674497188.8: 0: 0: 0: 0: 0: 0: 0.47536688393119453: 0.17487770622839105: 0.17487770492020582: 0.17487770492020874
127.0.0.1/9020-127.0.0.2/9784: 105.22260236740112, 0.23, 0.6064121723175049, 3942, 8721, 1.5497207641601562e-05, 3.1948089599609375e-05, 323.0, 3.1948089599609375e-05, 1280.575851393189, 0.22, 142.14425253868103, 0, 0, 0.6068980693817139, 0.6069300174713135, 76, 146, 0.3, 0, 6, 0.23, 146.0, 66.0, 0.25, 413626, 0, 469.0, 0.33, 0, 9636, 0, 323, 1454, 469, 420.25, 36.84604477882385, 66, 59, 0.0, 66: 432: 1674497187.8, 1674497188.8: 0: 0: 0: 0: 0: 0: 0.4753668864186717: 0.17487770452710943: 0.17487770452710943: 0.17487770452710943
127.0.0.15/443-127.0.0.8/5057: 0.003676891326904297, 0.06, 0.22020745277404785, 696, 408, 3.314018249511719e-05, 1.7404556274414062e-05, 17.0, 3.314018249511719e-05, 54.0, 0.0, 9.671667098999023, 0, 0, 0.00045108795166015625, 0.22020745277404785, 54, 29, 0.21, 0, 6, 0.04, 29.0, 1379.2068965517242, 0.2, 918, 0, 46.0, 0.0, 0, 39997, 0, 17, 54, 46, 0.0, 5.934563875198364, 1518, 2, 400.48, 54: 433: 1674497187.8, 1674497188.8: 0: 0: 0: 0: 0: 0: 0.47536678151160483: 0.1748777762674384: 0.17487772111534625: 0.17487772110561065
127.0.0.1/9020-127.0.0.2/9784: 105.21231508255005, 0.23, 0.6063966751098633, 3915, 8694, 1.52587890625e-05, 0.00035071372985839844, 322.0, 0.00035071372985839844, 1280.0372670807453, 0.22, 142.1288149356842, 0, 0, 0.6068661212921143, 0.6068980693817139, 76, 145, 0.3, 0, 6, 0.22, 145.0, 66.0, 0.25, 412172, 0, 467.0, 0.33, 0, 9570, 0, 322, 1454, 467, 420.79, 36.84379768371582, 66, 59, 0.0, 66: 434: 1674497187.9, 1674497188.9: 0: 0: 0: 0: 0: 0: 0.4753668864186717: 0.17487770452710943: 0.17487770452710943: 0.17487770452710943
127.0.0.15/443-127.0.0.8/5057: 0.003398418426513672, 0.04, 0.22017431259155273, 672, 384, 0.2193770408630371, 1.6450881958007812e-05, 16.0, 0.2193770408630371, 54.0, 0.0, 9.450595617294312, 0, 0, 0.0004336833953857422, 0.22017431259155273, 54, 28, 0.21, 0, 6, 0.03, 28.0, 1421.75, 0.21, 864, 0, 44.0, 0.0, 0, 39809, 0, 16, 54, 44, 0.0, 5.933635950088501, 1518, 1, 337.09, 54: 435: 1674497187.9, 1674497188.9: 0: 0: 0: 0: 0: 0: 0.4753666943136613: 0.17487783589320874: 0.1748777349076028: 0.17487773488552713
127.0.0.1/9020-127.0.0.2/9784: 105.0997359752655, 0.23, 0.6063814163208008, 3888, 8667, 1.6450881958007812e-05, 3.838539123535156e-05, 321.0, 3.838539123535156e-05, 1279.4953271028037, 0.22, 141.9652316570282, 0, 0, 0.6065154075622559, 0.6065473556518555, 76, 144, 0.31, 0, 6, 0.22, 144.0, 66.0, 0.26, 410718, 0, 465.0, 0.33, 0, 9504, 0, 321, 1454, 465, 421.33, 36.84160041809082, 66, 59, 0.0, 66: 436: 1674497188.0, 1674497189.0: 0: 0: 0: 0: 0: 0: 0.4753668864186717: 0.17487770452710943: 0.17487770452710943: 0.17487770452710943
127.0.0.15/443-127.0.0.8/5057: 0.0031516551971435547, 0.0, 0.000797271728515625, 648, 360, 1.7642974853515625e-05, 1.5974044799804688e-05, 15.0, 1.7642974853515625e-05, 54.0, 0.0, 0.017162322998046875, 0, 0, 0.0004172325134277344, 0.000797271728515625, 54, 27, 0.0, 0, 6, 0.0, 27.0, 1472.4074074074074, 0.0, 810, 0, 42.0, 0.0, 0, 39755, 0, 15, 54, 42, 0.0, 0.010455846786499023, 1518, 1, 214.44, 379: 437: 1674497188.0, 1674497189.0: 0: 0: 0: 0: 0: 0: 0.4753668801818092: 0.17487770879232215: 0.17487770551314658: 0.1748777055127221
127.0.0.1/9020-127.0.0.2/9784: 105.08745265007019, 0.23, 0.6063649654388428, 3861, 8640, 1.5020370483398438e-05, 2.1696090698242188e-05, 320.0, 2.1696090698242188e-05, 1278.95, 0.22, 141.94729328155518, 0, 0, 0.6064770221710205, 0.6065089702606201, 76, 143, 0.31, 0, 6, 0.22, 143.0, 66.0, 0.26, 409264, 0, 463.0, 0.33, 0, 9438, 0, 320, 1454, 463, 421.88, 36.839247941970825, 66, 59, 0.0, 66: 438: 1674497188.1, 1674497189.1: 0: 0: 0: 0: 0: 0: 0.4753668864186717: 0.17487770452710943: 0.17487770452710943: 0.17487770452710943
127.0.0.15/443-127.0.0.8/5057: 0.002928018569946289, 0.0, 0.0007796287536621094, 624, 336, 1.9788742065429688e-05, 1.52587890625e-05, 14.0, 1.9788742065429688e-05, 54.0, 0.0, 0.016219615936279297, 0, 0, 0.0004012584686279297, 0.0007796287536621094, 54, 26, 0.0, 0, 6, 0.0, 26.0, 1514.4615384615386, 0.0, 756, 0, 40.0, 0.0, 0, 39376, 0, 14, 54, 40, 0.0, 0.009997129440307617, 1518, 0, 1.28, 1514: 439: 1674497188.1, 1674497189.1: 0: 0: 0: 0: 0: 0: 0.4753668864186609: 0.17487770452711676: 0.1748777045271111: 0.1748777045271111
127.0.0.1/9020-127.0.0.2/9784: 144.55753588676453, 0.33, 0.9189927577972412, 4644, 9774, 1.5020370483398438e-05, 1.8835067749023438e-05, 362.0, 1.8835067749023438e-05, 1229.0607734806629, 0.28, 208.95857214927673, 0, 0, 0.9190983772277832, 0.9191300868988037, 76, 172, 0.39, 0, 6, 0.3, 172.0, 66.0, 0.37, 444920, 0, 534.0, 0.4, 0, 11352, 0, 362, 1454, 534, 473.21, 64.37741565704346, 66, 79, 0.0, 66: 440: 1674497188.1, 1674497189.1: 0: 0: 0: 0: 0: 0: 0.4753668864186717: 0.17487770452710943: 0.17487770452710943: 0.17487770452710943
