Number, Confidence, Flow, Start Time, End Time, Answer Label, Classified Label, Classified Probability
42, 0.07336077708750963, 127.0.0.1:1380-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.4485354682792536
43, 0.08268990674987435, 127.0.0.1:1381-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.4485354682792536
44, 0.08751076348125934, 127.0.0.1:1382-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.4485354682792536
45, 0.0871328666806221, 127.0.0.1:9020-127.0.0.2:9784, 1674497395.0, 1674497396.0, 0, 0, 0.17487770452712517
46, 0.08745909743010997, 127.0.0.1:1373-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.47474255275744653
47, 0.08218009509146214, 127.0.0.1:1374-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.4485354682792536
48, 0.07684127688407898, 127.0.0.1:1375-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.4485354682792536
49, 0.07205875441432, 127.0.0.1:1376-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.4485354682792536
50, 0.07094832621514797, 127.0.0.1:1377-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.4485354682792536
51, 0.06433489918708801, 127.0.0.1:9020-127.0.0.2:9784, 1674497395.1, 1674497396.1, 0, 0, 0.17487770452712773
52, 0.059731649793684484, 127.0.0.1:9020-127.0.0.2:9784, 1674497395.1, 1674497396.1, 0, 0, 0.17487770452712906
53, 0.05827435702085495, 127.0.0.1:1373-127.0.0.6:23, 1674497395.1, 1674497396.1, 1, 1, 0.4485354682792536
54, 0.04730581939220428, 127.0.0.1:9020-127.0.0.2:9784, 1674497395.1, 1674497396.1, 0, 0, 0.17487770452713108
55, 0.034505636990070344, 127.0.0.1:9020-127.0.0.2:9784, 1674497395.2, 1674497396.2, 0, 0, 0.17487770452713075
56, 0.016522348299622534, 127.0.0.1:9020-127.0.0.2:9784, 1674497395.2, 1674497396.2, 0, 0, 0.1748777045271323
57, 0.011316440254449844, 127.0.0.1:1379-127.0.0.6:23, 1674497395.4, 1674497396.4, 1, 1, 0.47467451182944137
58, 0.024585890024900435, 127.0.0.1:1381-127.0.0.6:23, 1674497395.4, 1674497396.4, 1, 0, 0.1886558291149883
59, 0.04323335587978363, 127.0.0.1:1382-127.0.0.6:23, 1674497395.4, 1674497396.4, 1, 1, 0.47466382283210007
60, 0.04743529222905636, 127.0.0.6:8382-127.0.0.8:8100, 1674497395.4, 1674497396.4, 0, 0, 0.1748777060589143
61, 0.05011581443250179, 127.0.0.1:1375-127.0.0.6:23, 1674497395.4, 1674497396.4, 1, 0, 0.17886771024131712
62, 0.05120040886104107, 127.0.0.5:443-127.0.0.6:3782, 1674497395.4, 1674497396.4, 0, 0, 0.17488170971149058
63, 0.043027916178107264, 127.0.0.5:443-127.0.0.6:3177, 1674497395.4, 1674497396.4, 0, 0, 0.17488170997861335
64, 0.035781115666031836, 127.0.0.5:443-127.0.0.6:7527, 1674497395.4, 1674497396.4, 0, 0, 0.17498328579627623
65, 0.02963308710604906, 127.0.0.1:9020-127.0.0.2:9784, 1674497395.4, 1674497396.4, 0, 0, 0.17487770452710943
66, 0.029598052706569435, 127.0.0.1:1380-127.0.0.6:23, 1674497395.4, 1674497396.4, 1, 1, 0.4747381675594376
67, 0.030575194209814072, 127.0.0.1:1378-127.0.0.6:23, 1674497395.4, 1674497396.4, 1, 1, 0.4747381625896026
68, 0.03483659895136952, 127.0.0.1:1379-127.0.0.6:23, 1674497395.4, 1674497396.4, 1, 1, 0.4747484664439698
69, 0.029925266094505788, 127.0.0.1:1381-127.0.0.6:23, 1674497395.4, 1674497396.4, 1, 0, 0.18863971635072704
70, 0.044539889134466645, 127.0.0.1:1382-127.0.0.6:23, 1674497395.4, 1674497396.4, 1, 1, 0.4747381799848914
71, 0.0513928709551692, 127.0.0.6:8382-127.0.0.8:8100, 1674497395.4, 1674497396.4, 0, 0, 0.17487770606589254
72, 0.0646187212318182, 127.0.0.1:9020-127.0.0.2:9784, 1674497395.4, 1674497396.4, 0, 0, 0.17487770452710943
73, 0.08075695447623729, 127.0.0.1:1380-127.0.0.6:23, 1674497395.4, 1674497396.4, 1, 1, 0.47480158283523727
74, 0.09159484580159187, 127.0.0.1:1378-127.0.0.6:23, 1674497395.4, 1674497396.4, 1, 1, 0.4748015828353927
75, 0.09559160936623812, 127.0.0.1:1379-127.0.0.6:23, 1674497395.4, 1674497396.4, 1, 1, 0.47481009887294306
76, 0.09010922210291028, 127.0.0.1:1381-127.0.0.6:23, 1674497395.4, 1674497396.4, 1, 0, 0.18863447518349047
77, 0.0901785060763359, 127.0.0.1:1382-127.0.0.6:23, 1674497395.4, 1674497396.4, 1, 1, 0.47480159765786284
78, 0.07681796215474605, 127.0.0.6:8382-127.0.0.8:8100, 1674497395.4, 1674497396.4, 0, 0, 0.17487770611599604
79, 0.07321869228035212, 127.0.0.1:9020-127.0.0.2:9784, 1674497395.5, 1674497396.5, 0, 0, 0.17487770452710943
80, 0.06854860074818134, 127.0.0.1:1380-127.0.0.6:23, 1674497395.5, 1674497396.5, 1, 1, 0.4485354682792536
81, 0.07393671125173569, 127.0.0.1:1378-127.0.0.6:23, 1674497395.5, 1674497396.5, 1, 1, 0.4485354682792536
82, 0.07260060012340545, 127.0.0.1:1379-127.0.0.6:23, 1674497395.5, 1674497396.5, 1, 1, 0.4485354682792536
83, 0.06357508972287178, 127.0.0.1:1381-127.0.0.6:23, 1674497395.5, 1674497396.5, 1, 0, 0.18858611245565018
84, 0.05843446366488934, 127.0.0.1:1382-127.0.0.6:23, 1674497395.5, 1674497396.5, 1, 1, 0.4485354682792536
85, 0.044949117302894595, 127.0.0.6:8382-127.0.0.8:8100, 1674497395.5, 1674497396.5, 0, 0, 0.17487770622347482
86, 0.035934953764081, 127.0.0.1:9020-127.0.0.2:9784, 1674497395.5, 1674497396.5, 0, 0, 0.17487770452710943
87, 0.0222590122371912, 127.0.0.1:9020-127.0.0.2:9784, 1674497395.6, 1674497396.6, 0, 0, 0.17487770452710943
88, 0.022064849734306335, 127.0.0.6:8382-127.0.0.8:8100, 1674497395.6, 1674497396.6, 0, 0, 0.17487770642302455
89, 0.01390709299594164, 127.0.0.1:9020-127.0.0.2:9784, 1674497395.6, 1674497396.6, 0, 0, 0.17487770452774706
90, 0.012557409331202507, 127.0.0.6:8382-127.0.0.8:8100, 1674497396.1, 1674497397.1, 0, 0, 0.1748777054941091
91, 0.026046866551041603, 127.0.0.6:3692-127.0.0.5:443, 1674497396.1, 1674497397.1, 0, 0, 0.17487770463551086
