Number, Confidence, Flow, Start Time, End Time, Answer Label, Classified Label, Classified Probability
42, 0.9969199895858765, 127.0.0.1:1389-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.4747272874686121
43, 0.9969199895858765, 127.0.0.1:1386-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.4747273097354312
44, 0.9969199895858765, 127.0.0.1:1387-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.4745947863623794
45, 0.9969199895858765, 127.0.0.1:1388-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.4747924042808643
46, 0.9969199895858765, 127.0.0.1:1389-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.47479245139118975
47, 0.9969199895858765, 127.0.0.1:1386-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.4747924389716173
48, 0.9969199895858765, 127.0.0.1:1387-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.4746742733862855
49, 0.9757782816886902, 127.0.0.1:1388-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.4485354682792536
50, 0.9757782816886902, 127.0.0.1:1389-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.4485354682792536
51, 0.9757782816886902, 127.0.0.6:3692-127.0.0.5:443, 1674497396.2, 1674497397.2, 0, 1, 0.4485354682792536
52, 0.9757782816886902, 127.0.0.1:1386-127.0.0.6:23, 1674497396.2, 1674497397.2, 1, 1, 0.4485354682792536
53, 0.9969199895858765, 127.0.0.1:1387-127.0.0.6:23, 1674497396.2, 1674497397.2, 1, 1, 0.4747429789188743
54, 0.9969199895858765, 127.0.0.1:1387-127.0.0.6:23, 1674497396.2, 1674497397.2, 1, 1, 0.4748101187395645
55, 0.9969199895858765, 127.0.0.6:8382-127.0.0.8:8100, 1674497396.2, 1674497397.2, 0, 1, 0.4745560570427313
56, 0.9969199895858765, 127.0.0.1:1391-127.0.0.6:23, 1674497397.6, 1674497398.6, 1, 1, 0.4745182437760026
57, 0.9969199895858765, 127.0.0.1:1392-127.0.0.6:23, 1674497397.6, 1674497398.6, 1, 1, 0.47451822401034777
58, 0.9757782816886902, 127.0.0.6:8382-127.0.0.8:8100, 1674497397.6, 1674497398.6, 0, 1, 0.4485354682792536
