flow_info: forward_iat_total, backward_iat_std, backward_iat_max, total_fhlen, total_bhlen, backward_iat_min, forward_iat_min, fpkts_per_second, flow_iat_min, forward_packet_length_mean, forward_iat_std, flow_iat_total, flow_syn, flow_fin, forward_iat_max, flow_iat_max, forward_packet_length_min, total_backward_packets, flow_iat_mean, flow_ece, flow_protocol, flow_iat_std, bpkts_per_second, backward_packet_length_mean, backward_iat_mean, total_length_of_forward_packets, flow_cwr, flow_packets_per_second, forward_iat_mean, flow_urg, total_length_of_backward_packets, flow_rst, total_forward_packets, forward_packet_length_max, flow_ack, forward_packet_length_std, backward_iat_total, backward_packet_length_max, flow_psh, backward_packet_length_std, backward_packet_length_min: serial: start_time, end_time: attack_label: infection_label: reconnaissance_label: attack_labeled: infection_labeled: reconnaissance_labeled: benign_probability: attack_probability: infection_probability: reconnaissance_probability
127.0.0.1/9020-127.0.0.2/9784: 0.03521418571472168, 0.0, 0.0022945404052734375, 405, 513, 5.8650970458984375e-05, 0.00045013427734375, 19.0, 6.961822509765625e-05, 1167.8947368421052, 0.0, 0.0475468635559082, 0, 0, 0.0023293495178222656, 0.0023641586303710938, 96, 15, 0.0, 0, 6, 0.0, 15.0, 66.0, 0.0, 22190, 0, 34.0, 0.0, 0, 990, 0, 19, 1454, 34, 461.82, 0.01128840446472168, 66, 6, 0.0, 66: 2157: 1674497280.7, 1674497281.7: 0: 0: 0: 0: 0: 0: 0.47536687498561714: 0.17487770633387661: 0.17487770633387661: 0.17487771234662972
127.0.0.1/6110-127.0.0.50/8043: 0.0022623538970947266, -1, -1, 0, 108, 99999, 0.00018358230590820312, 4.0, 0.00018358230590820312, 60.0, 0.0, 0.0022623538970947266, 0, 0, 0.0011217594146728516, 0.0011217594146728516, 60, 0, 0.0, 0, 17, 0.0, 0.0, 0, -1, 240, 0, 4.0, 0.0, 0, 0, 0, 4, 60, 0, 0.0, 0, -1, 0, -1, -1: 2158: 1674497280.7, 1674497281.7: 1: 0: 0: 1: 0: 0: 0.17488006322498073: 0.4753634377356133: 0.17487824951684278: 0.1748782495225631
127.0.0.1/2743-127.0.0.50/8043: 0.0022923946380615234, -1, -1, 0, 108, 99999, 0.00021457672119140625, 4.0, 0.00021457672119140625, 60.0, 0.0, 0.0022923946380615234, 0, 0, 0.0011212825775146484, 0.0011212825775146484, 60, 0, 0.0, 0, 17, 0.0, 0.0, 0, -1, 240, 0, 4.0, 0.0, 0, 0, 0, 4, 60, 0, 0.0, 0, -1, 0, -1, -1: 2159: 1674497280.7, 1674497281.7: 1: 0: 0: 1: 0: 0: 0.17488009033658575: 0.4753633980955885: 0.1748782557810527: 0.17487825578677307
127.0.0.1/5987-127.0.0.50/8043: 0.001847982406616211, -1, -1, 0, 81, 99999, 0.0008747577667236328, 3.0, 0.0008747577667236328, 60.0, 0.0, 0.001847982406616211, 0, 0, 0.0009732246398925781, 0.0009732246398925781, 60, 0, 0.0, 0, 17, 0.0, 0.0, 0, -1, 180, 0, 3.0, 0.0, 0, 0, 0, 3, 60, 0, 0.0, 0, -1, 0, -1, -1: 2160: 1674497280.7, 1674497281.7: 1: 0: 0: 1: 0: 0: 0.1748801310040668: 0.4753633386357358: 0.17487826517743363: 0.17487826518276367
127.0.0.1/5986-127.0.0.50/8043: 0.0010766983032226562, -1, -1, 0, 81, 99999, 0.0001697540283203125, 3.0, 0.0001697540283203125, 60.0, 0.0, 0.0010766983032226562, 0, 0, 0.0009069442749023438, 0.0009069442749023438, 60, 0, 0.0, 0, 17, 0.0, 0.0, 0, -1, 180, 0, 3.0, 0.0, 0, 0, 0, 3, 60, 0, 0.0, 0, -1, 0, -1, -1: 2161: 1674497280.7, 1674497281.7: 1: 0: 0: 1: 0: 0: 0.17488014455987244: 0.4753633188157228: 0.17487826830953726: 0.17487826831486755
127.0.0.1/2742-127.0.0.50/8043: 0.0016710758209228516, -1, -1, 0, 81, 99999, 0.0007779598236083984, 3.0, 0.0007779598236083984, 60.0, 0.0, 0.0016710758209228516, 0, 0, 0.0008931159973144531, 0.0008931159973144531, 60, 0, 0.0, 0, 17, 0.0, 0.0, 0, -1, 180, 0, 3.0, 0.0, 0, 0, 0, 3, 60, 0, 0.0, 0, -1, 0, -1, -1: 2162: 1674497280.7, 1674497281.7: 1: 0: 0: 1: 0: 0: 0.17488014455987233: 0.4753633188157225: 0.17487826830953718: 0.1748782683148679
127.0.0.1/5985-127.0.0.50/8043: 0.0010864734649658203, -1, -1, 0, 81, 99999, 0.00012612342834472656, 3.0, 0.00012612342834472656, 60.0, 0.0, 0.0010864734649658203, 0, 0, 0.0009603500366210938, 0.0009603500366210938, 60, 0, 0.0, 0, 17, 0.0, 0.0, 0, -1, 180, 0, 3.0, 0.0, 0, 0, 0, 3, 60, 0, 0.0, 0, -1, 0, -1, -1: 2163: 1674497280.7, 1674497281.7: 1: 0: 0: 1: 0: 0: 0.1748801174482619: 0.4753633584557489: 0.17487826204532975: 0.17487826205065954
127.0.0.1/6112-127.0.0.50/8043: 0.0011336803436279297, -1, -1, 0, 81, 99999, 0.0001742839813232422, 3.0, 0.0001742839813232422, 60.0, 0.0, 0.0011336803436279297, 0, 0, 0.0009593963623046875, 0.0009593963623046875, 60, 0, 0.0, 0, 17, 0.0, 0.0, 0, -1, 180, 0, 3.0, 0.0, 0, 0, 0, 3, 60, 0, 0.0, 0, -1, 0, -1, -1: 2164: 1674497280.7, 1674497281.7: 1: 0: 0: 1: 0: 0: 0.1748801174482619: 0.4753633584557489: 0.17487826204532975: 0.17487826205065957
127.0.0.1/5983-127.0.0.50/8043: 0.0018799304962158203, -1, -1, 0, 81, 99999, 0.0008745193481445312, 3.0, 0.0008745193481445312, 60.0, 0.0, 0.0018799304962158203, 0, 0, 0.001005411148071289, 0.001005411148071289, 60, 0, 0.0, 0, 17, 0.0, 0.0, 0, -1, 180, 0, 3.0, 0.0, 0, 0, 0, 3, 60, 0, 0.0, 0, -1, 0, -1, -1: 2165: 1674497280.7, 1674497281.7: 1: 0: 0: 1: 0: 0: 0.1748801174482619: 0.4753633584557489: 0.17487826204532975: 0.1748782620506595
127.0.0.1/5984-127.0.0.50/8043: 0.0011734962463378906, -1, -1, 0, 81, 99999, 0.00020003318786621094, 3.0, 0.00020003318786621094, 60.0, 0.0, 0.0011734962463378906, 0, 0, 0.0009734630584716797, 0.0009734630584716797, 60, 0, 0.0, 0, 17, 0.0, 0.0, 0, -1, 180, 0, 3.0, 0.0, 0, 0, 0, 3, 60, 0, 0.0, 0, -1, 0, -1, -1: 2166: 1674497280.7, 1674497281.7: 1: 0: 0: 1: 0: 0: 0.17488014455987252: 0.475363318815723: 0.17487826830953734: 0.17487826831486702
