flow_info: forward_iat_total, backward_iat_std, backward_iat_max, total_fhlen, total_bhlen, backward_iat_min, forward_iat_min, fpkts_per_second, flow_iat_min, forward_packet_length_mean, forward_iat_std, flow_iat_total, flow_syn, flow_fin, forward_iat_max, flow_iat_max, forward_packet_length_min, total_backward_packets, flow_iat_mean, flow_ece, flow_protocol, flow_iat_std, bpkts_per_second, backward_packet_length_mean, backward_iat_mean, total_length_of_forward_packets, flow_cwr, flow_packets_per_second, forward_iat_mean, flow_urg, total_length_of_backward_packets, flow_rst, total_forward_packets, forward_packet_length_max, flow_ack, forward_packet_length_std, backward_iat_total, backward_packet_length_max, flow_psh, backward_packet_length_std, backward_packet_length_min: serial: start_time, end_time: attack_label: infection_label: reconnaissance_label: attack_labeled: infection_labeled: reconnaissance_labeled: benign_probability: attack_probability: infection_probability: reconnaissance_probability
127.0.0.1/9020-127.0.0.2/9784: 0.06752443313598633, 0.0, 0.0008065700531005859, 135, 2241, 0.0004737377166748047, 2.765655517578125e-05, 83.0, 2.765655517578125e-05, 1454.0, 0.0, 0.07186436653137207, 0, 0, 0.001596212387084961, 0.001596212387084961, 1454, 5, 0.0, 0, 6, 0.0, 5.0, 66.0, 0.0, 120682, 0, 88.0, 0.0, 0, 330, 0, 83, 1454, 88, 0.0, 0.0022788047790527344, 66, 0, 0.0, 66: 1: 1674496860.9, 1674496861.9: 0: 0: 0: 0: 0: 0: 0.4753668864186717: 0.17487770452710946: 0.17487770452710946: 0.17487770452710946
127.0.0.1/9020-127.0.0.2/9784: 3.9946348667144775, 0.02, 0.046668052673339844, 135, 4428, 1.6450881958007812e-05, 2.1457672119140625e-05, 164.0, 2.1457672119140625e-05, 1454.0975609756097, 0.02, 4.045978307723999, 0, 0, 0.0486297607421875, 0.0486297607421875, 1454, 5, 0.02, 0, 6, 0.02, 5.0, 66.0, 0.01, 238472, 0, 169.0, 0.02, 0, 330, 0, 164, 1458, 169, 0.62, 0.04705190658569336, 66, 0, 0.0, 66: 2: 1674496860.9, 1674496861.9: 0: 0: 0: 0: 0: 0: 0.4753668864186676: 0.17487770452711007: 0.17487770452711007: 0.17487770452711224
127.0.0.1/9020-127.0.0.2/9784: 3.9911372661590576, 0.02, 0.046651601791381836, 108, 4401, 1.811981201171875e-05, 2.1219253540039062e-05, 163.0, 2.1219253540039062e-05, 1454.0981595092026, 0.02, 4.041536569595337, 0, 0, 0.04860830307006836, 0.04860830307006836, 1454, 4, 0.02, 0, 6, 0.02, 4.0, 66.0, 0.01, 237018, 0, 167.0, 0.02, 0, 264, 0, 163, 1458, 167, 0.62, 0.04698610305786133, 66, 0, 0.0, 66: 3: 1674496860.9, 1674496861.9: 0: 0: 0: 0: 0: 0: 0.4753668864186681: 0.17487770452711004: 0.17487770452711004: 0.17487770452711193
127.0.0.1/9020-127.0.0.2/9784: 11.17532992362976, 0.03, 0.08597087860107422, 486, 6615, 0.0002982616424560547, 1.9550323486328125e-05, 245.0, 1.9550323486328125e-05, 1454.0653061224489, 0.04, 12.525440216064453, 0, 0, 0.08752012252807617, 0.08752012252807617, 1454, 18, 0.05, 0, 6, 0.04, 18.0, 66.0, 0.07, 356246, 0, 263.0, 0.05, 0, 1188, 0, 245, 1458, 263, 0.51, 1.3348066806793213, 66, 0, 0.0, 66: 4: 1674496860.9, 1674496861.9: 0: 0: 0: 0: 0: 0: 0.4753668864186029: 0.17487770452712031: 0.17487770452712031: 0.17487770452715648
127.0.0.1/9020-127.0.0.2/9784: 21.75992774963379, 0.03, 0.12265944480895996, 540, 8910, 0.04633522033691406, 1.7642974853515625e-05, 330.0, 1.7642974853515625e-05, 1446.5030303030303, 0.05, 23.478517293930054, 0, 0, 0.12390017509460449, 0.12390017509460449, 209, 20, 0.07, 0, 6, 0.04, 20.0, 66.0, 0.08, 477346, 0, 350.0, 0.07, 0, 1320, 0, 330, 1458, 350, 96.63, 1.6960113048553467, 66, 2, 0.0, 66: 5: 1674496861.0, 1674496862.0: 0: 0: 0: 0: 0: 0: 0.4753668692672885: 0.17487770725701188: 0.17487770725260143: 0.17487771622309817
127.0.0.1/9020-127.0.0.2/9784: 21.754123210906982, 0.02, 0.0763242244720459, 513, 8883, 0.039110422134399414, 1.7404556274414062e-05, 329.0, 1.7404556274414062e-05, 1446.4802431610942, 0.05, 23.471248626708984, 0, 0, 0.12388253211975098, 0.12388253211975098, 209, 19, 0.07, 0, 6, 0.04, 19.0, 66.0, 0.04, 475892, 0, 348.0, 0.07, 0, 1254, 0, 329, 1458, 348, 96.78, 0.8156421184539795, 66, 2, 0.0, 66: 6: 1674496861.0, 1674496862.0: 0: 0: 0: 0: 0: 0: 0.47536686416036045: 0.17487770807009922: 0.17487770805789898: 0.17487771971164132
127.0.0.1/9020-127.0.0.2/9784: 21.748414516448975, 0.01, 0.037213802337646484, 486, 8856, 1.811981201171875e-05, 1.7881393432617188e-05, 328.0, 1.7881393432617188e-05, 1446.4573170731708, 0.05, 23.41778016090393, 0, 0, 0.12386512756347656, 0.12386512756347656, 209, 18, 0.07, 0, 6, 0.04, 18.0, 66.0, 0.01, 474438, 0, 346.0, 0.07, 0, 1188, 0, 328, 1458, 346, 96.93, 0.11165452003479004, 66, 2, 0.0, 66: 7: 1674496861.0, 1674496862.0: 0: 0: 0: 0: 0: 0: 0.4753668586550717: 0.17487770894606558: 0.17487770892620738: 0.17487772347265523
127.0.0.1/9020-127.0.0.2/9784: 30.39653778076172, 0.06, 0.12057065963745117, 810, 9963, 1.621246337890625e-05, 1.6689300537109375e-05, 369.0, 1.6689300537109375e-05, 1411.4742547425474, 0.06, 34.66195464134216, 0, 0, 0.20686030387878418, 0.20711040496826172, 96, 30, 0.09, 0, 6, 0.06, 30.0, 66.0, 0.06, 520834, 0, 399.0, 0.08, 0, 1980, 0, 369, 1458, 399, 231.06, 1.669224500656128, 66, 15, 0.0, 66: 8: 1674496861.1, 1674496862.1: 0: 0: 0: 0: 0: 0: 0.47536687859406346: 0.1748777057674111: 0.17487770950835455: 0.17487770613017098
127.0.0.3/80-127.0.0.4/3167: 0.03936338424682617, -1, -1, 0, 1377, 99999, 6.318092346191406e-05, 51.0, 6.318092346191406e-05, 1417.5294117647059, 0.0, 0.03936338424682617, 0, 0, 0.0013017654418945312, 0.0013017654418945312, 66, 0, 0.0, 0, 6, 0.0, 0.0, 0, -1, 72294, 0, 51.0, 0.0, 0, 0, 0, 51, 1514, 51, 251.98, 0, -1, 8, -1, -1: 9: 1674496861.1, 1674496862.1: 0: 0: 0: 0: 0: 0: 0.47536560469166145: 0.17487790707795836: 0.17487790707795836: 0.1748785811524218
127.0.0.8/5752-127.0.0.1/23: 0, -1, -1, 0, 24, 99999, 99999, 1.0, 99999, 54.0, 0.0, 0, 0, 0, -1, -1, 54, 0, 0.0, 0, 6, 0.0, 0.0, 0, -1, 54, 0, 1.0, 0.0, 0, 0, 0, 1, 54, 1, 0.0, 0, -1, 0, -1, -1: 10: 1674496861.1, 1674496862.1: 0: 1: 0: 0: 0: 0: 0.17485133033359726: 0.18107509803085686: 0.47014861597544993: 0.17392495566009597
127.0.0.8/5753-127.0.0.1/23: 0, -1, -1, 0, 24, 99999, 99999, 1.0, 99999, 54.0, 0.0, 0, 0, 0, -1, -1, 54, 0, 0.0, 0, 6, 0.0, 0.0, 0, -1, 54, 0, 1.0, 0.0, 0, 0, 0, 1, 54, 1, 0.0, 0, -1, 0, -1, -1: 11: 1674496861.1, 1674496862.1: 0: 1: 0: 0: 0: 0: 0.17485133033359726: 0.18107509803085686: 0.47014861597544993: 0.17392495566009597
127.0.0.1/9020-127.0.0.2/9784: 30.390396118164062, 0.06, 0.12055444717407227, 783, 9936, 1.52587890625e-05, 2.0265579223632812e-05, 368.0, 2.0265579223632812e-05, 1411.358695652174, 0.06, 34.56878924369812, 0, 0, 0.20684361457824707, 0.2070937156677246, 96, 29, 0.09, 0, 6, 0.06, 29.0, 66.0, 0.06, 519380, 0, 397.0, 0.08, 0, 1914, 0, 368, 1458, 397, 231.37, 1.6687543392181396, 66, 15, 0.0, 66: 12: 1674496861.1, 1674496862.1: 0: 0: 0: 0: 0: 0: 0.4753668786971439: 0.1748777057514688: 0.17487770941300831: 0.17487770613837908
127.0.0.3/80-127.0.0.4/3167: 0.03620433807373047, -1, -1, 0, 1350, 99999, 1.7642974853515625e-05, 50.0, 1.7642974853515625e-05, 1444.56, 0.0, 0.03620433807373047, 0, 0, 0.0012385845184326172, 0.0012385845184326172, 1018, 0, 0.0, 0, 6, 0.0, 0.0, 0, -1, 72228, 0, 50.0, 0.0, 0, 0, 0, 50, 1514, 50, 165.83, 0, -1, 8, -1, -1: 13: 1674496861.1, 1674496862.1: 0: 0: 0: 0: 0: 0: 0.47536688641860625: 0.17487770452711981: 0.17487770452711981: 0.17487770452715423
127.0.0.1/9020-127.0.0.2/9784: 30.38295865058899, 0.06, 0.12053918838500977, 756, 9909, 1.5735626220703125e-05, 1.7404556274414062e-05, 367.0, 1.7404556274414062e-05, 1411.2425068119892, 0.06, 34.47424507141113, 0, 0, 0.20682334899902344, 0.20707345008850098, 96, 28, 0.09, 0, 6, 0.06, 28.0, 66.0, 0.06, 517926, 0, 395.0, 0.08, 0, 1848, 0, 367, 1458, 395, 231.67, 1.6683270931243896, 66, 15, 0.0, 66: 14: 1674496861.2, 1674496862.2: 0: 0: 0: 0: 0: 0: 0.475366878804124: 0.1748777057349388: 0.17487770931335286: 0.17487770614758438
127.0.0.3/80-127.0.0.4/3167: 0.0353398323059082, -1, -1, 0, 1323, 99999, 1.5735626220703125e-05, 49.0, 1.5735626220703125e-05, 1443.142857142857, 0.0, 0.0353398323059082, 0, 0, 0.0012209415435791016, 0.0012209415435791016, 1018, 0, 0.0, 0, 6, 0.0, 0.0, 0, -1, 70714, 0, 49.0, 0.0, 0, 0, 0, 49, 1514, 49, 167.21, 0, -1, 8, -1, -1: 15: 1674496861.2, 1674496862.2: 0: 0: 0: 0: 0: 0: 0.47536688641861197: 0.17487770452711887: 0.17487770452711887: 0.1748777045271503
127.0.0.1/9020-127.0.0.2/9784: 30.376588582992554, 0.06, 0.12052345275878906, 729, 9882, 1.5497207641601562e-05, 1.621246337890625e-05, 366.0, 1.621246337890625e-05, 1411.1256830601094, 0.06, 34.3808708190918, 0, 0, 0.20680594444274902, 0.20705604553222656, 96, 27, 0.09, 0, 6, 0.06, 27.0, 66.0, 0.06, 516472, 0, 393.0, 0.08, 0, 1782, 0, 366, 1458, 393, 231.97, 1.6679022312164307, 66, 15, 0.0, 66: 16: 1674496861.2, 1674496862.2: 0: 0: 0: 0: 0: 0: 0.47536687891521284: 0.17487770571778766: 0.17487770920920978: 0.17487770615778978
127.0.0.3/80-127.0.0.4/3167: 0.03458452224731445, -1, -1, 0, 1296, 99999, 3.147125244140625e-05, 48.0, 3.147125244140625e-05, 1441.6666666666667, 0.0, 0.03458452224731445, 0, 0, 0.0012052059173583984, 0.0012052059173583984, 1018, 0, 0.0, 0, 6, 0.0, 0.0, 0, -1, 69200, 0, 48.0, 0.0, 0, 0, 0, 48, 1514, 48, 168.63, 0, -1, 8, -1, -1: 17: 1674496861.2, 1674496862.2: 0: 0: 0: 0: 0: 0: 0.4753668864186172: 0.17487770452711804: 0.17487770452711804: 0.1748777045271467
127.0.0.1/9020-127.0.0.2/9784: 30.370671033859253, 0.06, 0.12050795555114746, 702, 9855, 1.5497207641601562e-05, 1.7881393432617188e-05, 365.0, 1.7881393432617188e-05, 1411.0082191780823, 0.06, 34.28799915313721, 0, 0, 0.20678973197937012, 0.20703983306884766, 96, 26, 0.09, 0, 6, 0.06, 26.0, 66.0, 0.06, 515018, 0, 391.0, 0.08, 0, 1716, 0, 365, 1458, 391, 232.28, 1.667499303817749, 66, 15, 0.0, 66: 18: 1674496861.3, 1674496862.3: 0: 0: 0: 0: 0: 0: 0.4753668790310436: 0.1748777056999166: 0.17487770910010308: 0.17487770616893664
127.0.0.3/80-127.0.0.4/3167: 0.03310537338256836, -1, -1, 0, 1269, 99999, 1.7881393432617188e-05, 47.0, 1.7881393432617188e-05, 1443.4468085106382, 0.0, 0.03310537338256836, 0, 0, 0.0011737346649169922, 0.0011737346649169922, 1018, 0, 0.0, 0, 6, 0.0, 0.0, 0, -1, 67842, 0, 47.0, 0.0, 0, 0, 0, 47, 1514, 47, 169.97, 0, -1, 7, -1, -1: 19: 1674496861.3, 1674496862.3: 0: 0: 0: 0: 0: 0: 0.47536688641862535: 0.1748777045271168: 0.1748777045271168: 0.1748777045271412
127.0.0.1/9020-127.0.0.2/9784: 30.36416220664978, 0.06, 0.12049245834350586, 675, 9828, 1.5974044799804688e-05, 2.0265579223632812e-05, 364.0, 2.0265579223632812e-05, 1410.89010989011, 0.06, 34.19451141357422, 0, 0, 0.2067718505859375, 0.20702195167541504, 96, 25, 0.09, 0, 6, 0.06, 25.0, 66.0, 0.07, 513564, 0, 389.0, 0.08, 0, 1650, 0, 364, 1458, 389, 232.59, 1.667111873626709, 66, 15, 0.0, 66: 20: 1674496861.3, 1674496862.3: 0: 0: 0: 0: 0: 0: 0.4753668793028717: 0.17487770565719452: 0.17487770889586993: 0.17487770614406373
